"행정구역","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0세","2022년11월_계_1세","2022년11월_계_2세","2022년11월_계_3세","2022년11월_계_4세","2022년11월_계_5세","2022년11월_계_6세","2022년11월_계_7세","2022년11월_계_8세","2022년11월_계_9세","2022년11월_계_10세","2022년11월_계_11세","2022년11월_계_12세","2022년11월_계_13세","2022년11월_계_14세","2022년11월_계_15세","2022년11월_계_16세","2022년11월_계_17세","2022년11월_계_18세","2022년11월_계_19세","2022년11월_계_20세","2022년11월_계_21세","2022년11월_계_22세","2022년11월_계_23세","2022년11월_계_24세","2022년11월_계_25세","2022년11월_계_26세","2022년11월_계_27세","2022년11월_계_28세","2022년11월_계_29세","2022년11월_계_30세","2022년11월_계_31세","2022년11월_계_32세","2022년11월_계_33세","2022년11월_계_34세","2022년11월_계_35세","2022년11월_계_36세","2022년11월_계_37세","2022년11월_계_38세","2022년11월_계_39세","2022년11월_계_40세","2022년11월_계_41세","2022년11월_계_42세","2022년11월_계_43세","2022년11월_계_44세","2022년11월_계_45세","2022년11월_계_46세","2022년11월_계_47세","2022년11월_계_48세","2022년11월_계_49세","2022년11월_계_50세","2022년11월_계_51세","2022년11월_계_52세","2022년11월_계_53세","2022년11월_계_54세","2022년11월_계_55세","2022년11월_계_56세","2022년11월_계_57세","2022년11월_계_58세","2022년11월_계_59세","2022년11월_계_60세","2022년11월_계_61세","2022년11월_계_62세","2022년11월_계_63세","2022년11월_계_64세","2022년11월_계_65세","2022년11월_계_66세","2022년11월_계_67세","2022년11월_계_68세","2022년11월_계_69세","2022년11월_계_70세","2022년11월_계_71세","2022년11월_계_72세","2022년11월_계_73세","2022년11월_계_74세","2022년11월_계_75세","2022년11월_계_76세","2022년11월_계_77세","2022년11월_계_78세","2022년11월_계_79세","2022년11월_계_80세","2022년11월_계_81세","2022년11월_계_82세","2022년11월_계_83세","2022년11월_계_84세","2022년11월_계_85세","2022년11월_계_86세","2022년11월_계_87세","2022년11월_계_88세","2022년11월_계_89세","2022년11월_계_90세","2022년11월_계_91세","2022년11월_계_92세","2022년11월_계_93세","2022년11월_계_94세","2022년11월_계_95세","2022년11월_계_96세","2022년11월_계_97세","2022년11월_계_98세","2022년11월_계_99세","2022년11월_계_100세 이상"
"전국  (0000000000)","51,450,829","51,450,829","243,350","267,073","278,982","309,405","335,458","366,452","417,620","445,496","440,267","444,188","489,812","478,061","471,914","449,360","470,593","493,737","447,616","437,666","476,006","489,928","498,378","565,946","636,756","618,279","641,100","668,631","687,870","701,880","711,323","711,379","722,847","689,041","644,177","627,373","619,950","618,365","630,474","647,297","669,367","751,822","820,721","827,190","844,393","812,482","732,582","768,753","751,382","789,024","856,832","880,348","875,076","933,689","905,504","918,280","911,451","841,369","806,711","832,325","788,875","794,509","849,056","903,780","904,915","807,559","746,570","738,233","666,677","686,308","575,754","500,568","547,968","394,201","423,682","424,312","414,159","410,440","313,424","290,694","300,136","299,871","351,200","275,053","239,054","233,016","201,217","175,359","153,742","137,024","110,487","86,515","71,816","52,043","43,700","34,146","25,642","18,440","11,189","8,252","5,345","4,804","7,743"
"서울특별시  (1100000000)","9,436,836","9,436,836","40,712","44,291","44,307","48,477","51,156","55,410","63,182","67,103","66,433","67,337","74,018","72,092","72,829","69,669","74,380","78,705","72,242","70,968","79,297","85,916","90,027","103,605","123,678","127,036","138,245","150,161","159,355","164,656","169,306","168,831","169,606","160,915","147,412","140,685","136,945","132,094","131,313","131,635","132,103","143,539","151,712","151,902","152,789","147,269","129,918","137,349","134,963","139,827","151,466","155,775","158,226","167,575","161,271","160,463","155,096","143,312","134,089","140,835","136,130","136,297","142,392","149,749","153,623","140,267","132,166","131,353","120,236","126,222","105,991","93,879","101,179","70,577","79,294","79,475","77,535","78,522","61,293","55,720","55,027","53,702","61,304","47,257","40,180","37,714","32,148","27,452","23,454","20,756","16,218","12,830","10,598","7,652","6,595","5,424","4,059","2,993","1,806","1,258","913","782","1,306"
"부산광역시  (2600000000)","3,320,276","3,320,276","13,682","14,977","15,775","17,526","19,726","21,822","24,906","26,678","26,199","25,989","28,571","27,704","26,853","24,998","26,116","27,298","24,642","24,473","26,792","28,593","29,017","34,510","40,173","39,227","40,644","41,549","42,982","42,610","43,264","43,258","43,878","41,778","38,704","38,192","36,963","36,642","37,095","38,203","40,200","45,664","50,168","51,999","53,565","50,884","45,315","46,162","44,362","47,993","51,680","53,374","53,802","56,822","56,429","56,714","57,509","54,220","51,712","52,683","50,708","53,537","59,175","63,815","65,082","58,929","56,003","57,120","52,388","55,657","46,105","40,920","44,038","34,650","34,559","35,111","33,987","32,130","24,264","22,085","23,615","23,314","25,164","20,105","17,435","16,197","13,204","11,477","9,652","8,401","6,751","5,084","4,213","3,117","2,315","2,022","1,545","1,129","617","474","271","245","400"
"대구광역시  (2700000000)","2,365,619","2,365,619","9,940","11,030","11,857","13,713","15,026","16,769","19,451","20,312","20,226","20,006","22,416","21,553","21,388","20,151","21,446","22,632","20,619","20,714","22,544","24,274","23,687","27,768","31,158","29,655","29,706","30,715","31,089","31,088","30,643","30,453","31,111","29,361","27,707","27,109","25,405","25,908","26,584","26,915","27,905","31,974","35,612","36,223","37,211","36,128","32,476","34,639","34,663","36,737","39,767","41,206","41,815","44,049","43,181","43,566","44,605","41,825","39,170","40,315","38,316","38,330","41,533","43,529","42,525","38,722","33,399","34,764","31,833","32,369","26,640","25,310","27,084","20,373","20,327","21,399","20,591","19,022","13,013","12,550","14,443","14,865","16,050","12,812","10,977","10,700","8,911","7,808","6,847","5,979","4,782","3,642","3,062","2,172","1,625","1,245","956","688","380","300","176","136","238"
"인천광역시  (2800000000)","2,964,820","2,964,820","14,478","15,832","16,693","18,679","19,808","21,572","24,493","26,259","25,611","25,874","28,343","28,261","27,464","26,188","27,190","28,813","25,751","25,124","27,178","28,186","28,405","32,017","35,786","35,527","36,868","39,255","40,641","42,001","43,276","44,232","45,083","43,054","39,936","38,396","37,656","37,115","38,070","39,174","40,585","45,746","49,524","50,614","51,066","48,973","44,087","45,410","43,925","46,898","49,783","51,468","51,258","53,921","52,666","53,610","53,317","49,210","47,748","50,575","48,528","48,580","51,475","53,237","53,049","46,667","43,288","41,150","36,375","36,859","30,371","25,793","28,168","18,148","20,933","21,039","20,395","20,531","16,075","14,083","14,097","14,118","16,081","12,541","10,609","10,506","9,248","7,815","7,043","6,278","4,987","4,101","3,357","2,578","2,101","1,710","1,261","975","600","434","296","251","416"
"광주광역시  (2900000000)","1,432,049","1,432,049","7,268","8,212","8,015","9,165","10,083","11,048","12,776","13,497","13,623","13,761","15,236","14,784","14,962","14,391","14,851","16,116","14,460","14,286","15,500","16,296","16,504","18,941","21,097","20,070","20,370","20,811","20,636","20,908","20,311","19,911","19,915","18,426","16,906","16,279","16,060","16,209","16,752","17,333","18,611","21,216","23,548","22,927","23,732","23,574","21,116","22,587","22,355","22,551","25,373","25,372","25,584","26,613","25,609","24,724","25,590","23,109","22,607","22,095","20,515","21,264","20,615","21,528","22,934","20,251","18,099","17,803","15,021","16,024","13,118","11,477","12,692","10,464","10,708","11,193","10,276","10,638","8,277","7,480","7,254","6,842","8,958","6,791","5,673","5,333","4,706","4,154","3,255","3,078","2,633","1,902","1,560","1,155","1,147","762","550","397","272","191","101","125","171"
"대전광역시  (3000000000)","1,446,749","1,446,749","7,579","7,956","7,967","8,778","9,463","10,634","11,953","12,839","12,521","12,994","13,886","13,841","13,678","13,178","13,967","14,907","13,605","13,267","14,924","15,190","15,597","18,150","20,540","20,218","20,921","21,738","21,926","22,179","21,854","21,454","21,291","20,298","18,830","18,017","17,823","17,483","17,712","17,946","18,268","20,320","22,346","22,739","23,038","22,211","20,931","21,828","21,646","22,447","24,658","25,517","24,543","26,826","25,619","26,684","26,390","23,446","21,461","22,405","21,142","20,456","23,151","24,939","24,297","21,396","19,206","19,578","17,974","17,892","15,423","12,735","13,737","10,017","11,144","10,737","10,357","9,707","7,528","7,161","7,405","7,196","8,612","6,520","5,306","5,549","4,861","4,075","3,677","3,192","2,622","2,052","1,728","1,204","1,039","767","641","435","247","201","130","108","178"
"울산광역시  (3100000000)","1,111,371","1,111,371","5,333","6,120","6,491","7,273","7,962","9,007","10,416","11,041","11,000","10,934","11,931","11,465","11,294","10,777","11,166","11,786","10,359","10,010","10,824","10,457","10,364","11,804","13,067","12,331","12,754","13,379","13,868","14,004","14,134","14,220","14,462","14,107","13,343","13,404","12,914","13,032","13,489","13,881","14,814","16,756","18,538","18,920","19,680","18,460","16,770","17,413","16,407","17,401","18,791","19,420","19,494","21,145","20,974","21,448","21,951","20,808","20,320","20,750","19,097","18,714","20,166","21,243","20,259","18,024","16,571","15,884","14,219","14,196","11,643","10,509","10,463","8,066","7,936","7,598","7,451","6,694","4,769","4,320","4,599","4,708","5,165","3,668","3,398","3,036","2,626","2,197","1,915","1,731","1,446","1,140","901","670","487","430","312","216","134","110","77","60","60"
"세종특별자치시  (3600000000)","382,770","382,770","3,070","3,656","3,659","4,142","4,532","4,888","5,411","5,693","5,498","5,469","5,913","5,632","5,464","5,191","5,260","5,011","4,491","4,014","4,018","3,739","3,440","3,554","3,730","3,517","3,536","3,522","3,746","4,123","4,493","4,743","5,325","5,489","5,441","5,513","5,929","6,079","6,396","6,468","6,881","7,596","8,726","8,460","8,535","8,380","7,120","7,404","6,849","6,950","7,076","6,832","6,273","6,523","5,971","5,708","5,421","4,735","4,322","4,372","4,148","3,920","4,306","4,583","4,394","3,921","3,579","3,489","3,238","3,294","2,713","2,125","2,427","1,668","1,898","1,893","1,610","1,555","1,205","1,111","1,174","1,095","1,355","1,101","892","939","820","698","699","628","521","427","357","254","224","185","134","94","50","38","19","25","35"
"경기도  (4100000000)","13,583,238","13,583,238","73,857","79,550","83,081","91,832","99,452","107,725","122,559","130,304","128,241","127,974","141,149","137,076","134,818","128,313","134,118","138,864","125,677","121,113","131,540","135,298","135,517","151,833","170,860","165,821","173,449","181,227","184,838","190,329","193,866","194,960","200,913","193,093","180,252","177,664","177,338","176,974","180,452","186,937","191,805","216,003","235,382","238,618","241,161","231,563","207,504","217,916","212,104","220,851","237,811","242,284","242,029","255,656","245,613","248,390","241,099","220,145","210,579","217,761","206,400","203,108","213,001","222,382","219,494","193,146","179,048","170,263","152,456","154,468","128,138","110,016","120,355","78,322","88,135","87,738","86,899","87,884","69,219","63,375","63,014","61,818","71,103","56,803","49,059","47,321","41,465","36,265","31,683","28,160","22,574","17,638","14,729","10,722","9,127","7,257","5,486","3,850","2,423","1,800","1,203","1,031","1,722"
"강원도  (4200000000)","1,536,863","1,536,863","7,165","7,737","8,253","8,714","8,971","9,747","10,955","11,590","11,522","11,765","13,324","13,110","12,993","12,541","12,845","13,994","12,650","12,946","13,967","14,021","14,788","16,712","18,325","17,429","17,430","17,325","17,118","17,160","17,183","16,972","17,180","16,385","15,453","15,099","14,948","15,044","15,186","15,996","16,273","18,821","20,862","20,917","21,518","20,790","19,880","20,447","20,518","21,809","24,368","25,349","24,668","26,723","26,453","27,668","27,991","25,692","25,987","25,300","25,287","26,305","28,863","32,121","31,846","29,169","28,111","27,920","24,512","24,997","21,644","17,963","21,663","12,036","13,096","13,469","14,323","14,474","12,050","12,508","12,301","12,145","13,490","11,529","10,547","9,846","8,830","7,184","6,397","5,496","4,390","3,505","2,776","2,153","1,948","1,529","1,152","859","556","431","287","235","343"
